@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2023/10/22 16:22:50:785',1,0.467304,667.529297,0.056086,645.996094,0.054835,689.0625,0.054537,710.595703,0.050909,624.462891,0.05025,?,?,?
2,'2023/10/22 16:22:50:801',1,0.435531,667.529297,0.071952,581.396484,0.065909,689.0625,0.06548,645.996094,0.059905,559.863281,0.058974,?,?,?
3,'2023/10/22 16:22:50:816',1,0.359761,667.529297,0.076074,559.863281,0.075429,689.0625,0.072299,581.396484,0.063893,366.064453,0.055829,?,?,?
4,'2023/10/22 16:22:50:832',1,0.315661,279.931641,0.029577,409.130859,0.02556,430.664063,0.024178,559.863281,0.022354,452.197266,0.02076,?,?,?
5,'2023/10/22 16:22:50:846',1,0.315661,279.931641,0.029577,409.130859,0.02556,430.664063,0.024178,559.863281,0.022354,452.197266,0.02076,?,?,?
6,'2023/10/22 16:22:50:863',1,0.255551,64.599609,0.012574,301.464844,0.011972,107.666016,0.009628,322.998047,0.008697,21.533203,0.008474,?,?,?
7,'2023/10/22 16:27:57:029',2,0.388463,344.53125,0.044622,322.998047,0.03946,301.464844,0.02954,602.929688,0.027954,279.931641,0.026166,?,?,?
8,'2023/10/22 16:27:57:043',2,0.340845,366.064453,0.014682,344.53125,0.013669,322.998047,0.011398,172.265625,0.007961,624.462891,0.007625,?,?,?
9,'2023/10/22 16:27:57:060',2,0.296071,172.265625,0.004337,279.931641,0.00424,366.064453,0.002616,301.464844,0.002307,387.597656,0.001959,?,?,?
10,'2023/10/22 16:27:57:075',2,0.296071,172.265625,0.004337,279.931641,0.00424,366.064453,0.002616,301.464844,0.002307,387.597656,0.001959,?,?,?
11,'2023/10/22 16:27:57:092',2,0.257178,172.265625,0.00346,279.931641,0.001524,258.398438,0.001524,301.464844,0.001498,322.998047,0.001459,?,?,?
12,'2023/10/22 16:27:57:128',2,0.386436,602.929688,0.048757,409.130859,0.041004,387.597656,0.040195,129.199219,0.039245,581.396484,0.038516,?,?,?
13,'2023/10/22 16:27:57:147',2,0.386436,602.929688,0.048757,409.130859,0.041004,387.597656,0.040195,129.199219,0.039245,581.396484,0.038516,?,?,?
14,'2023/10/22 16:27:57:161',2,0.328987,366.064453,0.031501,602.929688,0.031423,344.53125,0.030959,581.396484,0.030568,387.597656,0.023841,?,?,?
15,'2023/10/22 16:27:57:175',2,0.26634,172.265625,0.007924,279.931641,0.003073,150.732422,0.00278,301.464844,0.002727,21.533203,0.002621,?,?,?
16,'2023/10/22 16:27:57:194',2,0.253275,172.265625,0.007474,150.732422,0.002694,279.931641,0.002647,301.464844,0.002381,193.798828,0.002029,?,?,?
17,'2023/10/22 16:27:57:245',2,0.415616,602.929688,0.05326,581.396484,0.0442,624.462891,0.040951,387.597656,0.040032,409.130859,0.039459,?,?,?
18,'2023/10/22 16:27:57:263',2,0.364669,602.929688,0.053788,581.396484,0.044167,409.130859,0.040146,624.462891,0.039693,387.597656,0.038943,?,?,?
19,'2023/10/22 16:27:57:277',2,0.336473,172.265625,0.01084,602.929688,0.010704,581.396484,0.010163,344.53125,0.010147,366.064453,0.008276,?,?,?
20,'2023/10/22 16:27:57:292',2,0.256445,172.265625,0.00543,301.464844,0.002055,279.931641,0.001802,344.53125,0.001638,516.796875,0.001475,?,?,?
21,'2023/10/22 16:27:57:309',2,0.256445,172.265625,0.00543,301.464844,0.002055,279.931641,0.001802,344.53125,0.001638,516.796875,0.001475,?,?,?
22,'2023/10/22 16:27:57:326',2,0.291831,602.929688,0.032845,624.462891,0.032466,581.396484,0.030811,645.996094,0.029482,559.863281,0.0265,?,?,?
23,'2023/10/22 16:27:57:385',2,0.259108,624.462891,0.030564,602.929688,0.030498,581.396484,0.029926,559.863281,0.027018,645.996094,0.026218,?,?,?
24,'2023/10/22 16:27:57:427',2,0.293113,409.130859,0.026936,430.664063,0.025576,602.929688,0.02481,452.197266,0.024584,172.265625,0.024469,?,?,?
25,'2023/10/22 16:27:57:442',2,0.254608,602.929688,0.030081,387.597656,0.02882,409.130859,0.028729,624.462891,0.028622,150.732422,0.024899,?,?,?
26,'2023/10/22 16:27:59:230',2,0.430911,322.998047,0.076032,301.464844,0.066719,344.53125,0.063278,602.929688,0.059861,624.462891,0.049653,?,?,?
27,'2023/10/22 16:27:59:246',2,0.430911,322.998047,0.076032,301.464844,0.066719,344.53125,0.063278,602.929688,0.059861,624.462891,0.049653,?,?,?
28,'2023/10/22 16:27:59:262',2,0.345364,344.53125,0.056031,301.464844,0.053449,322.998047,0.049956,602.929688,0.049302,624.462891,0.043712,?,?,?
29,'2023/10/22 16:27:59:278',2,0.345364,344.53125,0.056031,301.464844,0.053449,322.998047,0.049956,602.929688,0.049302,624.462891,0.043712,?,?,?
30,'2023/10/22 16:27:59:292',2,0.282425,172.265625,0.034635,150.732422,0.010056,279.931641,0.007271,301.464844,0.006757,344.53125,0.005774,?,?,?
31,'2023/10/22 16:27:59:362',2,0.490699,172.265625,0.022678,150.732422,0.019357,21.533203,0.018725,301.464844,0.017901,107.666016,0.017885,?,?,?
32,'2023/10/22 16:27:59:380',2,0.490699,172.265625,0.022678,150.732422,0.019357,21.533203,0.018725,301.464844,0.017901,107.666016,0.017885,?,?,?
33,'2023/10/22 16:27:59:397',2,0.397258,322.998047,0.091363,344.53125,0.070648,301.464844,0.064588,172.265625,0.049806,279.931641,0.047926,?,?,?
34,'2023/10/22 16:27:59:412',2,0.352086,322.998047,0.071285,344.53125,0.070226,301.464844,0.052811,172.265625,0.042395,279.931641,0.034198,?,?,?
35,'2023/10/22 16:27:59:426',2,0.302774,172.265625,0.018388,344.53125,0.013279,150.732422,0.008474,322.998047,0.006697,301.464844,0.005283,?,?,?
36,'2023/10/22 16:28:00:181',2,0.484152,538.330078,0.02847,473.730469,0.028424,495.263672,0.028412,516.796875,0.02835,452.197266,0.028045,?,?,?
37,'2023/10/22 16:28:00:196',2,0.420553,602.929688,0.081148,581.396484,0.066715,473.730469,0.051673,624.462891,0.04946,495.263672,0.041959,?,?,?
38,'2023/10/22 16:28:00:220',2,0.340469,602.929688,0.045077,581.396484,0.029815,624.462891,0.029372,473.730469,0.027774,452.197266,0.02154,?,?,?
39,'2023/10/22 16:28:00:227',2,0.340469,602.929688,0.045077,581.396484,0.029815,624.462891,0.029372,473.730469,0.027774,452.197266,0.02154,?,?,?
40,'2023/10/22 16:28:00:242',2,0.298734,172.265625,0.017046,624.462891,0.0049,150.732422,0.004528,581.396484,0.004427,602.929688,0.004309,?,?,?
41,'2023/10/22 16:28:00:259',2,0.259492,172.265625,0.0138,150.732422,0.003899,279.931641,0.003197,0,0.002131,0,0.002131,?,?,?
42,'2023/10/22 16:28:00:275',2,0.259492,172.265625,0.0138,150.732422,0.003899,279.931641,0.003197,0,0.002131,0,0.002131,?,?,?
43,'2023/10/22 16:28:00:311',2,0.498133,172.265625,0.019177,21.533203,0.019147,193.798828,0.018977,258.398438,0.018717,215.332031,0.018351,?,?,?
44,'2023/10/22 16:28:00:328',2,0.437071,602.929688,0.084838,581.396484,0.06945,624.462891,0.064697,559.863281,0.042365,387.597656,0.040416,?,?,?
45,'2023/10/22 16:28:00:345',2,0.437071,602.929688,0.084838,581.396484,0.06945,624.462891,0.064697,559.863281,0.042365,387.597656,0.040416,?,?,?
46,'2023/10/22 16:28:00:363',2,0.391288,602.929688,0.090403,581.396484,0.066718,624.462891,0.05906,172.265625,0.048137,559.863281,0.04327,?,?,?
47,'2023/10/22 16:28:00:377',2,0.316777,172.265625,0.026667,150.732422,0.010096,624.462891,0.007381,193.798828,0.006221,279.931641,0.006143,?,?,?
48,'2023/10/22 16:28:00:395',2,0.316777,172.265625,0.026667,150.732422,0.010096,624.462891,0.007381,193.798828,0.006221,279.931641,0.006143,?,?,?
49,'2023/10/22 16:28:00:410',2,0.266985,172.265625,0.014997,0,0.00557,0,0.00557,0,0.00557,0,0.00557,?,?,?
50,'2023/10/22 16:28:00:427',2,0.495166,366.064453,0.015342,452.197266,0.014412,430.664063,0.014124,473.730469,0.014111,559.863281,0.014057,?,?,?
