@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2023/10/24 14:23:47:523',1,0.489896,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,?
2,'2023/10/24 14:23:47:535',1,0.489896,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,?
3,'2023/10/24 14:23:47:552',1,0.489896,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,0,1.43969,?
4,'2023/10/24 14:23:47:569',1,0.492547,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,?
5,'2023/10/24 14:23:47:585',1,0.492547,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,0,1.927782,?
6,'2023/10/24 14:23:47:602',1,0.487478,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,0,1.957111,?
7,'2023/10/24 14:23:47:619',1,0.49068,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,?
8,'2023/10/24 14:23:47:635',1,0.49068,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,0,1.946955,?
9,'2023/10/24 14:23:47:653',1,0.482264,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,?
10,'2023/10/24 14:23:47:668',1,0.482264,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,0,1.905687,?
